price;lagged_price_24h;lagged_price_25h;lagged_price_26h;lagged_price_27h;lagged_price_7d;lagged_price_24h_mean_24h;lagged_price_24h_mean_7d
73.06;79.87;79.74;91.35;113.71;58.79;90.68458333333217;80.36767857142848
68.98;74.0;79.87;79.74;91.35;56.58;90.43458333333217;80.44607142857134
68.03;72.91;74.0;79.87;79.74;55.95;90.24874999999884;80.57928571428563
68.53;72.29;72.91;74.0;79.87;57.75;90.09208333333216;80.71511904761897
68.66;77.1;72.29;72.91;74.0;61.04;90.16958333333217;80.88851190476183
83.62;82.98;77.1;72.29;72.91;62.83;90.12624999999883;81.09029761904755
84.01;93.5;82.98;77.1;72.29;63.92;89.75374999999883;81.28898809523801
77.15;104.06;93.5;82.98;77.1;67.98;88.63208333333216;81.48732142857135
68.5;96.06;104.06;93.5;82.98;65.04;87.86958333333217;81.59559523809514
59.07;81.08;96.06;104.06;93.5;58.46;87.39124999999883;81.66601190476182
38.21;77.81;81.08;96.06;104.06;48.85;87.2929166666655;81.76446428571418
26.09;72.95;77.81;81.08;96.06;38.43;87.0741666666655;81.857738095238
39.51;70.35;72.95;77.81;81.08;28.97;86.9254166666655;81.96601190476181
41.41;68.74;70.35;72.95;77.81;12.33;86.91374999999881;82.0854761904761
24.5;65.37;68.74;70.35;72.95;10.55;86.85374999999881;82.19851190476182
10.06;69.92;65.37;68.74;70.35;18.33;86.87624999999882;82.33309523809515
20.93;71.7;69.92;65.37;68.74;37.41;86.8299999999988;82.45684523809516
62.36;80.46;71.7;69.92;65.37;62.83;86.85416666666548;82.59434523809516
86.0;93.88;80.46;71.7;69.92;78.9;86.80041666666547;82.77767857142848
119.9;128.74;93.88;80.46;71.7;89.61;86.28583333333215;83.16452380952371
112.27;136.56;128.74;93.88;80.46;97.04;85.63041666666548;83.59232142857134
85.0;105.14;136.56;128.74;93.88;90.31;85.27333333333215;83.83357142857133
75.9;81.13;105.14;136.56;128.74;86.07;84.84749999999882;83.9372619047618
65.23;78.56;81.13;105.14;136.56;82.9;84.79833333333214;84.03803571428561
56.39;73.06;78.56;81.13;105.14;81.85;84.51458333333214;84.12297619047608
46.14;68.98;73.06;78.56;81.13;70.59;84.30541666666547;84.1967857142856
39.6;68.03;68.98;73.06;78.56;69.53;84.10208333333213;84.26869047619036
32.32;68.53;68.03;68.98;73.06;64.4;83.94541666666547;84.33285714285704
28.49;68.66;68.53;68.03;68.98;63.88;83.5937499999988;84.37821428571417
26.69;83.62;68.66;68.53;68.03;63.62;83.62041666666546;84.50196428571418
9.95;84.01;83.62;68.66;68.53;64.43;83.2249999999988;84.6215476190475
0.25;77.15;84.01;83.62;68.66;60.53;82.10374999999881;84.67613095238084
0.26;68.5;77.15;84.01;83.62;60.88;80.95541666666547;84.69672619047608
0.22;59.07;68.5;77.15;84.01;54.73;80.03833333333215;84.70035714285703
0.0;38.21;59.07;68.5;77.15;43.29;78.38833333333214;84.6370238095237
-0.96;26.09;38.21;59.07;68.5;42.47;76.43583333333214;84.56357142857131
-1.11;39.51;26.09;38.21;59.07;43.94;75.15083333333214;84.62630952380941
-2.5;41.41;39.51;26.09;38.21;42.14;74.01208333333214;84.79940476190465
-2.52;24.5;41.41;39.51;26.09;41.48;72.30916666666548;84.88244047619037
-2.03;10.06;24.5;41.41;39.51;41.93;69.8149999999988;84.83321428571418
-0.98;20.93;10.06;24.5;41.41;47.7;67.69958333333214;84.73511904761894
0.0;62.36;20.93;10.06;24.5;58.68;66.94541666666547;84.73232142857132
35.44;86.0;62.36;20.93;10.06;74.6;66.61708333333213;84.77458333333323
59.31;119.9;86.0;62.36;20.93;89.36;66.24874999999881;84.95488095238085
75.59;112.27;119.9;86.0;62.36;95.26;65.23666666666547;85.0455357142856
76.67;85.0;112.27;119.9;86.0;91.07;64.3974999999988;85.01392857142847
62.76;75.9;85.0;112.27;119.9;84.63;64.17958333333213;84.95339285714275
46.7;65.23;75.9;85.0;112.27;85.65;63.624166666665474;84.84821428571418
41.1;56.39;65.23;75.9;85.0;77.08;62.92958333333215;84.69666666666656
39.44;46.14;56.39;65.23;75.9;69.99;61.977916666665486;84.55113095238083
38.04;39.6;46.14;56.39;65.23;64.55;60.79333333333215;84.37297619047607
37.44;32.32;39.6;46.14;56.39;64.38;59.284583333332144;84.18202380952368
38.05;28.49;32.32;39.6;46.14;69.51;57.610833333332145;83.97136904761894
82.13;26.69;28.49;32.32;39.6;85.4;55.23874999999881;83.7515476190475
92.71;9.95;26.69;28.49;32.32;105.9;52.152916666665476;83.42726190476179
112.44;0.25;9.95;26.69;28.49;130.79;48.9487499999988;83.06845238095227
96.95;0.26;0.25;9.95;26.69;117.46;46.10541666666547;82.70761904761893
65.01;0.22;0.26;0.25;9.95;97.05;43.65333333333214;82.38315476190465
51.87;0.0;0.22;0.26;0.25;81.86;42.06124999999881;82.12547619047606
34.32;-0.96;0.0;0.22;0.26;81.24;40.93416666666547;81.86696428571418
31.39;-1.11;-0.96;0.0;0.22;77.05;39.24166666666547;81.59880952380941
25.32;-2.5;-1.11;-0.96;0.0;73.67;37.41208333333214;81.33309523809513
25.17;-2.52;-2.5;-1.11;-0.96;74.13;36.28624999999881;81.07119047619037
32.65;-2.03;-2.52;-2.5;-1.11;76.59;35.78249999999881;80.8095238095237
47.68;-0.98;-2.03;-2.52;-2.5;81.57;34.869583333332145;80.51976190476178
85.74;0.0;-0.98;-2.03;-2.52;96.79;32.27124999999881;80.17047619047607
104.73;35.44;0.0;-0.98;-2.03;118.2;30.164583333332143;79.93738095238083
179.44;59.31;35.44;0.0;-0.98;164.05;27.63999999999881;79.75851190476178
204.57;75.59;59.31;35.44;0.0;170.96;26.11166666666548;79.64142857142845
108.55;76.67;75.59;59.31;35.44;130.05;25.764583333332144;79.55571428571416
87.29;62.76;76.67;75.59;59.31;105.77;25.217083333332145;79.42553571428559
79.2;46.7;62.76;76.67;75.59;96.99;24.444999999998814;79.19369047619037
71.99;41.1;46.7;62.76;76.67;88.32;23.80791666666548;78.9795238095237
65.17;39.44;41.1;46.7;62.76;86.69;23.52874999999882;78.79767857142846
68.72;38.04;39.44;41.1;46.7;85.95;23.463749999998814;78.63988095238085
63.65;37.44;38.04;39.44;41.1;85.42;23.67708333333215;78.47952380952373
52.76;38.05;37.44;38.04;39.44;86.35;24.07541666666548;78.29226190476182
55.05;82.13;38.05;37.44;38.04;97.69;26.385416666665478;78.27279761904752
92.67;92.71;82.13;38.05;37.44;121.4;29.833749999998812;78.19428571428561
99.5;112.44;92.71;82.13;38.05;181.26;34.50833333333214;78.08505952380942
84.45;96.95;112.44;92.71;82.13;136.28;38.53708333333214;77.9629761904761
69.22;65.01;96.95;112.44;92.71;98.38;41.23666666666548;77.77226190476182
52.54;51.87;65.01;96.95;112.44;82.87;43.39791666666547;77.59374999999991
43.91;34.32;51.87;65.01;96.95;77.26;44.86791666666547;77.3144642857142
31.25;31.39;34.32;51.87;65.01;77.46;46.22208333333214;77.04267857142848
11.3;25.32;31.39;34.32;51.87;79.38;47.3812499999988;76.75488095238086
10.0;25.17;25.32;31.39;34.32;78.62;48.5349999999988;76.4634523809523
19.41;32.65;25.17;25.32;31.39;80.02;49.9799999999988;76.20190476190467
45.58;47.68;32.65;25.17;25.32;83.02;52.00749999999881;76.00017857142849
53.39;85.74;47.68;32.65;25.17;89.97;55.57999999999881;75.93440476190467
61.05;104.73;85.74;47.68;32.65;102.4;58.46708333333214;75.8542261904761
65.22;179.44;104.73;85.74;47.68;123.01;63.47249999999881;75.94583333333324
64.73;204.57;179.44;104.73;85.74;125.07;68.84666666666548;76.14589285714277
66.05;108.55;204.57;179.44;104.73;105.1;70.1749999999988;76.01791666666658
54.09;87.29;108.55;204.57;179.44;92.73;71.19708333333215;75.90791666666658
50.05;79.2;87.29;108.55;204.57;81.55;72.5512499999988;75.80202380952373
38.0;71.99;79.2;87.29;108.55;79.84;73.83833333333214;75.70482142857135
36.61;65.17;71.99;79.2;87.29;76.1;74.91041666666548;75.57672619047611
35.82;68.72;65.17;71.99;79.2;75.31;76.18874999999882;75.47416666666658
35.1;63.65;68.72;65.17;71.99;73.07;77.28083333333215;75.34458333333325
35.59;52.76;63.65;68.72;65.17;76.04;77.89374999999882;75.14464285714277
35.55;55.05;52.76;63.65;68.72;81.83;76.76541666666547;74.89083333333323
38.29;92.67;55.05;52.76;63.65;101.66;76.76374999999881;74.71982142857134
28.08;99.5;92.67;55.05;52.76;131.32;76.22458333333215;74.23315476190467
8.68;84.45;99.5;92.67;55.05;129.23;75.7037499999988;73.92464285714276
0.01;69.22;84.45;99.5;92.67;97.08;75.87916666666548;73.75107142857134
-0.97;52.54;69.22;84.45;99.5;92.97;75.90708333333215;73.57053571428563
-2.42;43.91;52.54;69.22;84.45;91.04;76.30666666666549;73.37202380952371
-2.45;31.25;43.91;52.54;69.22;85.62;76.30083333333215;73.0969642857142
-2.09;11.3;31.25;43.91;52.54;83.48;75.71666666666549;72.6917261904761
-2.06;10.0;11.3;31.25;43.91;80.55;75.08458333333215;72.2832738095237
-2.45;19.41;10.0;11.3;31.25;82.69;74.53291666666549;71.9224999999999
-0.98;45.58;19.41;10.0;11.3;85.15;74.44541666666548;71.69964285714275
-0.1;53.39;45.58;19.41;10.0;96.09;73.09749999999882;71.48190476190466
23.25;61.05;53.39;45.58;19.41;104.04;71.27749999999881;71.2357738095237
41.82;65.22;61.05;53.39;45.58;135.2;66.51833333333214;70.8917857142856
48.8;64.73;65.22;61.05;53.39;143.44;60.691666666665476;70.53261904761894
34.01;66.05;64.73;65.22;61.05;121.16;58.92083333333215;70.30017857142846
29.92;54.09;66.05;64.73;65.22;105.31;57.53749999999881;70.07017857142846
22.0;50.05;54.09;66.05;64.73;90.21;56.32291666666547;69.88267857142846
14.56;38.0;50.05;54.09;66.05;83.5;54.90666666666547;69.63363095238084
10.94;36.61;38.0;50.05;54.09;80.0;53.71666666666547;69.39857142857132
10.0;35.82;36.61;38.0;50.05;77.37;52.34583333333213;69.16351190476179
7.8;35.1;35.82;36.61;38.0;76.05;51.156249999998785;68.93749999999989
10.94;35.59;35.1;35.82;36.61;75.24;50.440833333332115;68.69672619047608
30.42;35.55;35.59;35.1;35.82;84.02;49.628333333332115;68.42124999999989
39.82;38.29;35.55;35.59;35.1;102.44;47.36249999999878;68.0440476190475
51.76;28.08;38.29;35.55;35.59;130.98;44.38666666666544;67.4295238095237
58.63;8.68;28.08;38.29;35.55;114.36;41.22958333333211;66.71196428571417
31.45;0.01;8.68;28.08;38.29;92.56;38.3458333333321;66.13416666666656
5.22;-0.97;0.01;8.68;28.08;80.17;36.11624999999877;65.5749999999999
-0.08;-2.42;-0.97;0.01;8.68;78.2;34.185833333332106;65.01869047619037
-1.04;-2.45;-2.42;-0.97;0.01;73.92;32.78166666666544;64.49446428571417
-2.7;-2.09;-2.45;-2.42;-0.97;69.02;32.22374999999877;63.98511904761894
-0.05;-2.06;-2.09;-2.45;-2.42;66.81;31.721249999998776;63.49339285714276
0.0;-2.45;-2.06;-2.09;-2.45;69.38;30.810416666665443;62.98660714285703
4.09;-0.98;-2.45;-2.06;-2.09;72.81;28.870416666665438;62.473928571428466
34.92;-0.1;-0.98;-2.45;-2.06;79.88;26.64166666666544;61.90136904761894
39.05;23.25;-0.1;-0.98;-2.45;95.17;25.06666666666544;61.42047619047608
41.92;41.82;23.25;-0.1;-0.98;141.09;24.091666666665443;60.86464285714274
41.99;48.8;41.82;23.25;-0.1;152.29;23.42791666666544;60.3013095238094
41.92;34.01;48.8;41.82;23.25;113.71;22.09291666666544;59.782559523809404
37.87;29.92;34.01;48.8;41.82;91.35;21.085833333332108;59.33380952380941
33.93;22.0;29.92;34.01;48.8;79.74;19.917083333332105;58.9277976190475
29.78;14.56;22.0;29.92;34.01;79.87;18.94041666666544;58.51744047619036
29.35;10.94;14.56;22.0;29.92;74.0;17.870833333332104;58.106369047618934
