price;lagged_price_24h;lagged_price_25h;lagged_price_26h;lagged_price_27h;lagged_price_7d;lagged_price_24h_mean_24h;lagged_price_24h_mean_7d
0.0;3.3;4.3;10.0;21.05;85.09;13.376249999998775;29.12142857142847
0.0;2.86;3.3;4.3;10.0;85.02;13.38166666666544;29.136607142857038
0.19;2.81;2.86;3.3;4.3;85.01;13.358749999998773;29.153690476190377
0.51;2.82;2.81;2.86;3.3;79.1;13.288333333332107;29.17142857142847
0.98;3.48;2.82;2.81;2.86;79.08;13.147083333332107;29.19565476190466
1.42;4.99;3.48;2.82;2.81;85.01;12.638333333332108;29.22630952380942
2.47;23.07;4.99;3.48;2.82;84.64;12.517499999998774;28.93214285714275
4.95;29.97;23.07;4.99;3.48;77.92;11.846249999998776;28.47458333333323
7.97;32.45;29.97;23.07;4.99;55.12;11.518749999998775;28.11232142857132
7.43;25.67;32.45;29.97;23.07;6.97;11.473749999998775;27.873630952380843
4.95;11.18;25.67;32.45;29.97;0.79;11.50958333333211;27.819107142857032
0.71;4.21;11.18;25.67;32.45;0.0;11.632499999998776;27.83249999999989
-0.02;2.95;4.21;11.18;25.67;-0.58;11.756249999998774;27.8480357142856
-1.3;1.93;2.95;4.21;11.18;-0.88;11.866249999998773;27.859464285714175
-2.79;1.25;1.93;2.95;4.21;-0.91;11.924999999998775;27.8667857142856
-1.92;2.48;1.25;1.93;2.95;-0.07;11.989999999998775;27.767976190476073
-0.04;3.28;2.48;1.25;1.93;2.98;11.747916666665441;27.40720238095226
3.38;4.98;3.28;2.48;1.25;30.92;11.235416666665444;26.937916666666545
22.01;7.16;4.98;3.28;2.48;78.43;10.666666666665444;26.365238095237974
102.33;5.89;7.16;4.98;3.28;99.24;9.89708333333211;25.608690476190358
111.55;4.13;5.89;7.16;4.98;119.56;9.008749999998777;24.641428571428452
59.98;1.24;4.13;5.89;7.16;101.0;8.18333333333211;23.856904761904644
4.97;-0.09;1.24;4.13;5.89;84.19;7.762916666665443;23.34565476190464
3.0;-1.6;-0.09;1.24;4.13;25.21;7.51708333333211;22.92053571428559
2.69;0.0;-1.6;-0.09;1.24;24.36;7.37958333333211;22.414047619047498
2.48;0.0;0.0;-1.6;-0.09;19.25;7.260416666665442;21.90797619047607
2.6;0.19;0.0;0.0;-1.6;43.45;7.151249999998775;21.403095238095116
2.85;0.51;0.19;0.0;0.0;40.23;7.054999999998775;20.935297619047496
2.85;0.98;0.51;0.19;0.0;45.22;6.950833333332109;20.470416666666544
2.91;1.42;0.98;0.51;0.19;42.46;6.802083333332107;19.97285714285702
3.57;2.47;1.42;0.98;0.51;17.19;5.943749999998775;19.48374999999988
3.17;4.95;2.47;1.42;0.98;4.67;4.901249999998774;19.04940476190464
5.05;7.97;4.95;2.47;1.42;1.48;3.8812499999987744;18.768749999999876
2.91;7.43;7.97;4.95;2.47;-1.23;3.121249999998774;18.77148809523797
-0.03;4.95;7.43;7.97;4.95;-2.57;2.8616666666654407;18.796249999999876
-0.18;0.71;4.95;7.43;7.97;-4.07;2.715833333332107;18.800476190476065
-2.06;-0.02;0.71;4.95;7.43;-5.09;2.592083333332107;18.8038095238094
-7.41;-1.3;-0.02;0.71;4.95;-6.58;2.457499999998774;18.801309523809397
-15.07;-2.79;-1.3;-0.02;0.71;-5.16;2.2891666666654404;18.790119047618923
-10.0;-1.92;-2.79;-1.3;-0.02;-2.09;2.1058333333321073;18.77910714285702
-3.79;-0.04;-1.92;-2.79;-1.3;-0.09;1.967499999998774;18.761130952380828
-0.06;3.38;-0.04;-1.92;-2.79;2.59;1.9008333333321075;18.597202380952258
62.63;22.01;3.38;-0.04;-1.92;24.72;2.5195833333321076;18.261369047618924
87.44;102.33;22.01;3.38;-0.04;63.62;6.537916666665441;18.279761904761784
110.93;111.55;102.33;22.01;3.38;73.92;11.013749999998774;18.232083333333215
119.91;59.98;111.55;102.33;22.01;55.4;13.461249999998776;17.987916666666546
99.48;4.97;59.98;111.55;102.33;43.53;13.67208333333211;17.516369047618927
84.08;3.0;4.97;59.98;111.55;34.75;13.863749999998776;17.384166666666545
88.91;2.69;3.0;4.97;59.98;26.2;13.97583333333211;17.25517857142845
80.66;2.48;2.69;3.0;4.97;25.25;14.079166666665444;17.15535714285702
84.64;2.6;2.48;2.69;3.0;25.01;14.179583333332111;16.91220238095226
84.02;2.85;2.6;2.48;2.69;24.11;14.277083333332113;16.68970238095226
86.09;2.85;2.85;2.6;2.48;26.36;14.35499999999878;16.43749999999988
89.27;2.91;2.85;2.85;2.6;36.65;14.417083333332114;16.20208333333321
102.2;3.57;2.91;2.85;2.85;48.84;14.462916666665445;16.121011904761783
105.69;3.17;3.57;2.91;2.85;100.95;14.38874999999878;16.11208333333321
70.51;5.05;3.17;3.57;2.91;76.59;14.267083333332112;16.133333333333212
29.38;2.91;5.05;3.17;3.57;37.59;14.078749999998779;16.15797619047607
12.41;-0.03;2.91;5.05;3.17;18.19;13.871249999998781;16.173095238095115
6.06;-0.18;-0.03;2.91;5.05;7.04;13.834166666665448;16.19624999999988
2.41;-2.06;-0.18;-0.03;2.91;1.59;13.749166666665447;16.214285714285595
0.01;-7.41;-2.06;-0.18;-0.03;1.01;13.494583333332114;16.209345238095118
0.02;-15.07;-7.41;-2.06;-0.18;0.3;12.982916666665448;16.150357142857022
